,Views_7_days,Country,Price_EUR,Year_Built
301,220,Switzerland,19607.843137254902,1991
302,540,Switzerland,19598.039215686273,2008
303,339,Switzerland,19598.039215686273,1991
306,185,Switzerland,19705.882352941175,2020
307,401,Switzerland,19509.803921568626,2020
308,2026,Switzerland,19509.803921568626,1993
310,145,Germany,18515.0,2020
311,118,Netherlands,19500.0,1981
312,101,Netherlands,19500.0,1975
313,78,Netherlands,19500.0,2005
314,273,Germany,19500.0,2010
315,778,Steinwiesen,19500.0,1996
316,261,Germany,19490.0,2003
317,163,Switzerland,20588.235294117647,2014
319,183,Switzerland,20539.21568627451,2018
321,117,Germany,19300.0,2020
322,235,Switzerland,20392.156862745098,2020
323,217,Italy,19900.0,2019
324,121,Germany,19900.0,2018
326,314,Germany,19900.0,1976
327,122,Netherlands,19900.0,1997
328,165,France,19900.0,1995
329,375,Germany,19900.0,1996
331,80,Germany,19900.0,1994
333,89,France,19900.0,2002
334,97,France,19900.0,2006
335,280,Germany,19900.0,1984
336,206,Germany,19900.0,1970
337,159,Germany,19900.0,2017
338,157,Belgium,19900.0,1969
339,153,Germany,20499.0,2020
340,115,Germany,20490.0,2018
341,118,Switzerland,21676.470588235294,2020
342,537,Switzerland,21568.62745098039,1989
343,176,Switzerland,21568.62745098039,1992
344,415,Switzerland,21568.62745098039,1993
345,593,Switzerland,21568.62745098039,1978
346,527,Switzerland,21568.62745098039,2001
347,265,Switzerland,21568.62745098039,1993
348,466,Switzerland,21568.62745098039,2006
354,73,Germany,21396.0,2020
357,394,Switzerland,22549.019607843136,2019
358,863,Switzerland,22549.019607843136,1992
359,235,Switzerland,22549.019607843136,2020
360,135,Switzerland,22450.980392156864,2016
361,457,Switzerland,22450.980392156864,2004
362,135,Germany,21090.0,2019
363,49,Italy,21000.0,1991
364,97,Italy,21000.0,1996
365,241,Italy,21000.0,1997
366,190,France,21000.0,1989
368,146,Netherlands,21000.0,1992
373,141,Germany,22000.0,2007
375,352,Italy,22000.0,1978
376,190,Germany,22000.0,1979
377,111,Italy,22000.0,1996
378,100,Italy,22000.0,1989
381,373,Germany,22000.0,1991
385,86,Germany,22880.0,2020
386,140,Germany,22850.0,2020
388,114,Germany,22800.0,2020
389,87,Portugal,22772.0,2018
391,49,Germany,22765.0,2020
394,110,France,22700.0,2003
395,142,France,22680.0,2020
396,422,Switzerland,24019.607843137255,1988
397,417,Switzerland,24019.607843137255,1976
398,867,Switzerland,24019.607843137255,2015
399,107,Germany,22520.0,2020
400,109,Germany,23640.0,2017
401,483,Switzerland,25000.0,2001
402,84,Germany,23530.0,2020
404,164,Germany,23500.0,1982
405,507,Switzerland,24509.803921568626,1988
406,771,Switzerland,24509.803921568626,1997
407,420,Switzerland,24509.803921568626,1992
408,284,Switzerland,24509.803921568626,1965
409,888,Switzerland,24509.803921568626,2020
410,84,Germany,23290.0,2019
411,273,Switzerland,24411.764705882353,1995
414,485,Switzerland,25480.392156862745,2006
418,607,Switzerland,25490.19607843137,1995
419,187,Switzerland,25490.19607843137,1990
420,198,Switzerland,25441.176470588234,2020
421,99,France,24000.0,2005
422,90,Germany,24000.0,1984
424,104,France,24000.0,1989
425,87,France,24000.0,2006
427,143,Italy,24000.0,1968
428,87,Italy,24000.0,1987
429,199,Germany,24900.0,1961
430,84,Germany,24900.0,1990
432,138,Germany,24900.0,2017
433,110,Italy,24900.0,2018
434,69,Italy,24900.0,2019
435,93,Spain,24900.0,1995
436,260,Germany,24900.0,1995
437,119,Croatia (Hrvatska),24900.0,2008
439,605,Italy,24900.0,1996
441,100,Germany,24900.0,2002
442,161,France,24900.0,2007
443,48,Switzerland,24900.0,2020
445,100,Italy,25000.0,1998
446,103,France,25000.0,2007
447,287,Portugal,25000.0,2007
449,169,Italy,25000.0,1996
450,181,Italy,25000.0,1986
451,94,Italy,25000.0,2001
452,197,Slovenia,25000.0,1991
457,160,Netherlands,25000.0,1983
458,271,Italy,25000.0,2006
459,170,Spain,25000.0,2001
460,231,Italy,25000.0,1979
462,1136,Switzerland,27450.980392156864,1996
465,278,Germany,25900.0,1995
467,195,Slovenia,25900.0,2008
